,barrio,Con muertos,Choque,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
149,La Mota,3.0,409.0,1.0,23.0,82.0,61.0,0.0,1.0,0.0,0.0,0.0,436.0,0.0,1.0,5
150,La Oculta,1.0,15.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0
151,La Palma,3.0,449.0,6.0,3.0,136.0,65.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,5
152,La Pilarica,1.0,472.0,3.0,1.0,116.0,63.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,5
153,La Piñuela,2.0,209.0,2.0,0.0,73.0,38.0,0.0,0.0,0.0,0.0,1.0,274.0,0.0,0.0,0
154,La Pradera,1.0,197.0,0.0,0.0,67.0,76.0,0.0,1.0,0.0,0.0,0.0,281.0,0.0,0.0,0
155,La Rosa,3.0,120.0,2.0,0.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0
156,La Salle,4.0,256.0,5.0,0.0,57.0,78.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0
157,La Sierra,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0
158,La Verde,0.0,92.0,1.0,56.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0
159,Lalinde,1.0,163.0,0.0,1.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0
160,Las Acacias,3.0,1286.0,6.0,301.0,249.0,123.0,0.0,2.0,1.0,0.0,0.0,969.0,0.0,1.0,2
161,Las Brisas,8.0,678.0,7.0,0.0,105.0,122.0,0.0,2.0,0.0,0.0,3.0,830.0,0.0,0.0,5
162,Las Esmeraldas,5.0,132.0,0.0,0.0,56.0,32.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0
163,Las Estancias,1.0,120.0,1.0,0.0,22.0,58.0,2.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0
164,Las Granjas,13.0,558.0,8.0,1.0,173.0,144.0,0.0,0.0,0.0,0.0,1.0,858.0,0.0,0.0,5
165,Las Independencias,0.0,16.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0
166,Las Lomas No.1,1.0,530.0,0.0,2.0,128.0,58.0,0.0,0.0,0.0,1.0,2.0,463.0,0.0,0.0,5
167,Las Lomas No.2,0.0,314.0,2.0,0.0,94.0,42.0,3.0,0.0,0.0,0.0,2.0,253.0,0.0,0.0,0
168,Las Mercedes,0.0,253.0,0.0,12.0,68.0,52.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0
169,Las Palmas,7.0,448.0,1.0,4.0,144.0,82.0,3.0,0.0,0.0,0.0,0.0,480.0,1.0,1.0,5
170,Las Playas,2.0,432.0,5.0,0.0,139.0,57.0,0.0,1.0,0.0,0.0,0.0,434.0,0.0,0.0,5
171,Las Violetas,5.0,221.0,2.0,0.0,40.0,67.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0
172,Laureles,8.0,1435.0,4.0,62.0,550.0,102.0,2.0,1.0,0.0,1.0,0.0,1013.0,0.0,0.0,1
173,Llanaditas,0.0,27.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0
174,Loma de los Bernal,2.0,332.0,2.0,4.0,54.0,75.0,1.0,0.0,0.0,0.0,1.0,345.0,0.0,0.0,0
