,barrio,Con muertos,Choque,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
297,Versalles No. 2,0.0,36.0,1.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0
298,Villa Carlota,12.0,2201.0,7.0,6.0,306.0,212.0,0.0,2.0,1.0,0.0,1.0,2089.0,0.0,0.0,1
299,Villa Flora,0.0,562.0,2.0,0.0,139.0,133.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,0.0,5
300,Villa Guadalupe,3.0,168.0,2.0,0.0,54.0,65.0,1.0,0.0,0.0,0.0,1.0,296.0,0.0,1.0,0
301,Villa Hermosa,1.0,316.0,0.0,1.0,155.0,71.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0
302,Villa Liliam,1.0,51.0,1.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0
303,Villa Niza,2.0,109.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0
304,Villa Nueva,19.0,2628.0,16.0,5.0,909.0,236.0,3.0,28.0,0.0,0.0,0.0,2521.0,1.0,0.0,4
305,Villa Turbay,0.0,18.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0
306,Villa del Socorro,1.0,234.0,2.0,0.0,36.0,70.0,0.0,0.0,0.0,0.0,1.0,354.0,0.0,0.0,0
307,Villatina,1.0,214.0,1.0,1.0,35.0,87.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0
308,Volcana Guayabal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
309,Yarumalito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
310,Yolombo,0.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0
311,Área de Expansión Pajarito,8.0,450.0,1.0,0.0,101.0,224.0,0.0,2.0,0.0,1.0,1.0,693.0,2.0,0.0,5
312,Área de Expansión San Antonio de Prado,0.0,44.0,0.0,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0
